formula,2Dpfx,2Dpfy,area,CBM_GW,CBM_HSE06,CBM,Dgap_gw,Dgap_HSE06,Dgap_WSOC,Dgap,EBE,Eng,gp_gw,gp_HSE06,GWSOC,VBM_gw,VBM_HSE06,VBM,VL,VBM_HSE06-VL,CBM_HSE06-VL,TDSL
Ru2O1S4Se2,4.374147778,7.606131667,29.54856,-0.537773264,-1.270153889,-2.34882619,2.870811111,2.3247875,1.534941667,1.492513333,1.077727778,-56.28425333,2.7523,1.99242,1.508506667,-3.126117333,-3.619151667,-3.943799444,2.790377619,-6.409529286,-4.060531508,3.0
Ru2O1S5Se1,4.291252222,7.560366111,29.477925,-0.558780431,-1.277053889,-2.362538571,2.888466667,2.407586667,1.575224,1.527508333,1.067756111,-57.08445333,2.6765,2.074152778,1.411621667,-3.159027333,-3.64337875,-4.006833333,2.766092381,-6.409471131,-4.04314627,3.0
Ru2O2S1Se4,4.028588889,7.756978333,30.64187,-0.520600361,-1.505567778,-2.40563381,2.780068889,2.255506667,1.484381667,1.560546667,0.984800556,-55.55374889,2.21116,1.860345,1.3792625,-3.091528,-3.616741667,-3.835382778,2.864826667,-6.481568333,-4.370394444,3.0
Ru2O2S2Se3,4.034217778,7.722428333,30.37904167,-0.551589875,-1.476497778,-2.425736667,2.816445556,2.363274167,1.495379667,1.579601667,0.994139444,-55.89986056,2.17723,1.87429,1.3919925,-3.167658,-3.662364167,-3.945504444,2.824523333,-6.4868875,-4.301021111,3.0
Ru2O2S3Se2,4.154952778,7.658058333,29.49797,-0.627905833,-1.393667222,-2.571003333,2.942563333,2.5274475,1.576323,1.675391667,1.090515556,-57.48430722,2.78102,2.229175556,1.582601667,-3.26261,-3.832819583,-4.304502778,2.69710381,-6.529923393,-4.090771032,3.0
Ru2O2S4Se1,3.882897222,7.684046667,28.799965,-0.652606083,-1.475945556,-2.584204762,2.992426667,2.4272325,1.626314667,1.677561667,1.086160556,-58.25976333,2.81201,2.303637778,1.600513333,-3.314088667,-3.937983333,-4.371517222,2.661526667,-6.59951,-4.137472222,3.0
Ru2O3S1Se3,3.585731667,7.318130556,28.707855,-0.730137264,-1.914607222,-2.709788571,2.966973333,2.5995175,1.864594667,1.533866667,1.104892222,-58.39722741,2.370416667,2.259532222,1.987323,-3.333624,-3.959744583,-4.280107222,2.53531381,-6.495058393,-4.449921032,3.0
Ru2O3S2Se2,3.386108333,6.679893333,28.65056,-0.801016722,-2.289228889,-3.271905238,3.577533333,2.9544975,2.059253,1.573186667,1.39683,-60.44704519,3.38636,2.789191667,2.059135,-4.007038667,-5.70672,-5.020075556,2.181952381,-7.888672381,-4.47118127,3.0
Ru2O3S3Se1,3.557996667,7.138128889,27.266415,-0.870041972,-1.953323889,-2.842779524,3.064861111,2.83827,2.0122,1.613366667,1.249631667,-60.77894685,2.923113333,2.626779444,1.9959275,-3.520797333,-4.302567083,-4.559229444,2.374258095,-6.676825179,-4.327581984,3.0
Ru2O4S1Se2,3.372636667,6.716743889,26.72474,-1.082218167,-2.741702222,-3.441039048,3.630751111,2.954040833,2.021312,1.499855,1.417373333,-62.23771,3.525466667,2.832315556,2.048609167,-4.115847333,-5.572397917,-4.78065,2.042747619,-7.615145536,-4.784449841,3.0
Ru2O4S2Se1,3.121316111,6.572260556,26.22678667,-1.168289153,-2.752593889,-3.623955238,3.617666111,2.949583333,2.103407667,1.403796667,1.450611667,-62.90189185,3.601556667,2.837122778,2.100109167,-4.1947,-5.644549583,-4.878446111,1.999611905,-7.644161488,-4.752205794,3.0
Ru2O5S1Se1,3.042953889,6.698113333,26.17502,-1.369123333,-3.062217222,-3.722431905,3.865299444,2.876388333,2.089432333,1.502916667,1.42593,-64.01156426,3.88018,2.683316111,2.148806667,-4.392060667,-5.800522917,-5.065446111,1.911457143,-7.71198006,-4.973674365,3.0
