formula,2Dpfx,2Dpfy,area,CBM_GW,CBM_HSE06,CBM,Dgap_gw,Dgap_HSE06,Dgap_WSOC,Dgap,EBE,Eng,gp_gw,gp_HSE06,GWSOC,VBM_gw,VBM_HSE06,VBM,VL,VBM_HSE06-VL,CBM_HSE06-VL,TDSL
Tc2O1Se4Te2,4.638708444,8.930347778,35.37805667,-0.069047167,-1.285387222,-1.890948095,2.214265,1.8471,1.200306,1.083923333,0.977665556,-54.80104889,1.76255,1.655302222,0.961678333,-1.959918,-2.769914167,-2.829152778,2.903310952,-5.673225119,-4.188698175,3.0
Tc2O1Se5Te1,4.602250111,8.869111111,34.02731667,-0.051156417,-1.351101667,-1.965216667,2.295878333,1.8394925,1.290300333,1.152855,0.993577778,-55.40583333,1.90518,1.700473333,1.053675833,-2.047814,-2.921030833,-2.951218333,2.94444381,-5.865474643,-4.295545476,3.0
Tc2S3Se3Te1,5.058422778,9.038736667,33.70232,0.071143583,-0.916747778,-1.50503619,2.260257778,1.487059167,0.994583,0.9092,0.763782778,-52.03883333,2.07682,1.3914,0.936096667,-1.921264,-2.212258333,-2.296471667,3.431568095,-5.643826429,-4.348315873,3.0
Tc2S4Se2Te1,4.970362222,8.990018333,33.456855,0.051829625,-0.943844444,-1.52292619,2.348396111,1.612995,1.082524,1.037865,0.873396111,-52.91407,2.391376667,1.6875,1.018794167,-2.109704,-2.375334583,-2.568215,3.34197619,-5.717310774,-4.285820635,3.0
Tc2S5Se1Te1,4.968457222,9.016248333,33.07015,0.025444375,-0.992127778,-1.542497619,2.350753889,1.6433575,1.125691333,1.022245,0.894599444,-53.48631444,2.356156667,1.610316667,1.0590875,-2.223984,-2.4407225,-2.62394,3.33145619,-5.77217869,-4.323583968,3.0
Re2O1S2Se4,5.268947778,9.81685,33.7072,-0.145939125,-1.286135,-1.907551429,2.644806667,1.857431667,1.462585333,1.343513333,0.985503889,-58.90765111,2.46409,1.554743333,1.420220833,-2.095874,-2.631064167,-2.993265556,3.096533333,-5.7275975,-4.382668333,3.0
Re2O2S1Se4,5.097400556,9.56359,32.26413,-0.270838042,-1.219561667,-2.085495714,2.770845,2.119766667,1.487224,1.384935,0.985295556,-59.53941333,2.58202,1.814873333,1.5923225,-2.311842667,-3.03937125,-3.490885556,3.077666667,-6.117037917,-4.297228333,3.0
Re2O2Se3Te2,5.305516222,8.862488333,35.11028,-0.154709667,-1.39701,-1.905648095,2.395326667,1.903495,1.304537667,1.132733333,0.953175556,-57.64390722,2.215566667,1.604983333,1.332835,-1.726252,-2.970985417,-3.025931667,2.977087619,-5.948073036,-4.374097619,3.0
Fe2S1Se3Te3,5.678128556,8.616577222,35.53227,-0.293051375,-1.127412222,-1.48998381,2.267133889,1.546689167,1.037320867,0.820468333,0.621841111,-37.89906278,2.17476,1.406555,1.003244333,-2.399413333,-2.787440625,-2.521677222,3.289538571,-6.076979196,-4.416950794,3.0
Fe2S1Se4Te2,5.581450556,8.060993333,35.763655,-0.289365667,-1.093848889,-1.617554762,2.423707778,1.8173375,1.163798933,1.004541667,0.759222778,-38.85597278,2.21935,1.647996667,1.160726417,-2.501902,-3.01234125,-2.812405556,2.963001905,-5.975343155,-4.056850794,3.0
Fe2S1Se5Te1,5.600074444,7.976813333,34.96528,-0.330920194,-1.123806111,-1.602320952,2.503291667,1.919181667,1.202059933,1.07354,0.773650556,-40.43293722,2.26414,1.701040556,1.13495375,-2.62798,-3.005527708,-2.952803333,2.985264762,-5.99079247,-4.109070873,3.0
Fe2S2Se2Te3,5.746950222,8.156281667,37.02851,-0.262945847,-1.009155556,-1.49183381,2.2276,1.666779167,1.079080867,0.848395,0.658763333,-38.65490667,2.00968,1.478622778,1.001433083,-2.382284667,-2.734740417,-2.549630556,3.350802952,-6.085543369,-4.359958508,3.0
Fe2S2Se3Te2,5.502831111,7.85024,34.91278,-0.325738458,-1.059774444,-1.628688095,2.482815556,1.879925833,1.181041933,1.012108333,0.774468333,-40.52660333,2.16278,1.70734,1.14086975,-2.578806,-3.045473958,-2.895946667,2.926917143,-5.972391101,-3.986691587,3.0
Fe2S2Se4Te1,5.545434444,7.581486667,34.42616,-0.348557458,-1.113012778,-1.667788571,2.590908889,2.099636667,1.266596933,1.13108,0.80422,-41.38034667,2.24478,1.809238889,1.13519125,-2.758366667,-3.163323542,-3.028786667,2.957702857,-6.121026399,-4.070715635,3.0
Fe2S3Se1Te3,5.624918556,8.141942222,34.58108,-0.285566417,-0.994072222,-1.592771905,2.389449444,1.748501667,1.174643867,0.842238333,0.692822222,-40.43332222,2.2658,1.609048333,1.163005583,-2.551383333,-2.963546458,-2.702307778,3.239596286,-6.203142744,-4.233668508,3.0
Fe2S3Se2Te2,5.390846667,7.353031667,34.117395,-0.326484542,-1.005964444,-1.674297143,2.70322,2.140114167,1.3659696,1.294055,0.897038333,-41.83197833,2.689316667,2.00812,1.346089333,-2.823348,-3.358889583,-3.243632222,2.818210476,-6.17710006,-3.824174921,3.0
Fe2S3Se3Te1,5.519301667,7.448401667,34.098305,-0.375196667,-1.054769444,-1.67464381,2.677135556,2.20098,1.416009933,1.161928333,0.836766111,-42.5288,2.48732,1.965136111,1.375027917,-2.894686667,-3.314470417,-3.187873333,2.948467143,-6.26293756,-4.003236587,3.0
Fe2S4Se1Te2,5.421617778,7.269935,33.82667,-0.360804958,-1.041031111,-1.683950952,2.738259444,2.191794167,1.4611426,1.435271667,0.906408333,-42.78314611,2.724486667,2.075798889,1.407056833,-2.904844,-3.416605,-3.299970556,2.818521429,-6.235126429,-3.85955254,3.0
Fe2S4Se2Te1,5.387709444,7.004209444,33.5098,-0.383185306,-1.066656111,-1.71403381,2.835750556,2.358049167,1.559930267,1.340065,0.926097778,-43.79487889,2.865366667,2.211962778,1.44706,-3.031933333,-3.398580417,-3.407773333,2.89503381,-6.293614226,-3.961689921,3.0
Fe2S5Se1Te1,5.249326667,7.109296111,33.68629,-0.376217611,-1.068959444,-1.72199,2.887451667,2.486446667,1.5947066,1.377938333,0.954364444,-45.09515889,2.894236667,2.377033889,1.5230625,-3.13448,-3.402358333,-3.474607222,2.890177143,-6.292535476,-3.959136587,3.0
Ru2O1S1Se5,4.468685,7.96256,32.07364,-0.416577306,-1.356776667,-2.191721429,2.531006667,1.927628333,1.312090667,1.3352,0.919639444,-55.14856889,2.23894,1.587961111,1.212295,-2.757148,-3.17865625,-3.268620556,2.813781905,-5.992438155,-4.170558571,3.0
Ru2O1S2Se4,4.276127778,7.870065,31.67571,-0.455635931,-1.448001111,-2.203760952,2.633373333,2.003654167,1.369535667,1.393776667,0.941854444,-54.72171,2.28917,1.636354444,1.287845,-2.856962,-3.21224125,-3.417047222,2.846600476,-6.058841726,-4.294601587,3.0
