Formula,Vacuum level
Fe2Se4,3.178
Fe2Sr2Ge2,4.447
Fe2Sr2Si2,3.842
Fe2Sr3Br2O5,3.626
Fe2Sr4Br2O6,4.054
Fe2Ta2Te6,2.421
Fe2Te2,4.119400000000001
Fe2Te4,3.375
Fe2Te6,5.318
Fe2W2Cl2O8,1.359
Fe3GeTe2,4.867
Fe3S4,4.1655
Fe3Se4,3.91
Fe4S8,2.208
FeBr2,3.0096666666666665
FeCl2,3.051
FeF2,2.907
FeGa2S4,3.246
FeH2,2.365
FeH2O2,2.139
FeHfBr6,3.06
FeHfCl6,3.094
FeHfF6,2.458
FeHfI6,3.422
FeI2,3.3870000000000005
FeLi2,2.809
FeMn2C6N6,0.796
FeO2,3.001333333333333
FeS2,3.5273333333333334
FeSe2,3.6183333333333336
FeSn2C6N6,0.97
FeTe2,4.270666666666667
FeZn2C6N6,0.861
FeZrBr6,3.062
FeZrCl6,3.093
FeZrF6,2.487
FeZrI6,3.399
Ga2Br2,1.414
Ga2Br2N2,3.979
Ga2Br2O2,3.742
Ga2Br2S2,3.442
Ga2Br2Se2,3.399
Ga2Br6,2.6775
Ga2Cl2,1.334
Ga2Cl2N2,3.899
Ga2Cl2O2,3.654
Ga2Cl2S2,3.393
Ga2Cl2Se2,3.356
Ga2Cl2Te2,1.847
Ga2Cl6,2.6985
Ga2F4H10N4,1.035
Ga2Ge2Te2,2.826
Ga2H2O8Se2,1.576
Ga2I2,1.71
Ga2I2N2,4.481
Ga2I2O2,4.208
Ga2I2S2,3.806
Ga2I2Se2,3.728
Ga2I6,3.042
Ga2In2S6,2.686
Ga2Mn2S5,3.684
Ga2MnS4,3.21
Ga2NiS4,3.109
Ga2O2,2.8225
Ga2P2,1.416
Ga2P2Se6,3.501
Ga2P2Te6,3.694
Ga2S2,3.186
Ga2S4,2.585
Ga2Se2,2.866
Ga2Se4,2.048
Ga2Te2,3.13
Ga2Te3,1.667
Ga2Te4,2.371
Ga2Y2I2,3.031
GaAs,1.991
GaBr2,2.602
GaC,1.804
GaCl2,2.5589999999999997
GaF2,1.696
GaH2O2,1.867
GaI2,2.9613333333333336
GaN,1.896
GaNi5Br2,4.575
GaNi5Cl2,4.584
GaNi5I2,4.818
GaO2,2.195
GaP,1.955
GaPd5Br2,4.843
GaPd5Cl2,4.897
GaPd5I2,5.044
GaPt5Br2,5.403
GaPt5Cl2,5.524
GaPt5I2,5.619
GaS2,2.975
GaSe2,3.046
GaTe2,3.142
Ge2,2.134
Ge2H2,1.965
Ge2I2,4.318
Ge2I2N2,4.598
Ge2I2O2,4.207
Ge2I2S2,3.942
Ge2I2Se2,3.961
Ge2P2S6,3.481
Ge2P2Se6,3.553
Ge2P2Te6,3.679
Ge2S2,2.6255
Ge2S4,2.65
Ge2Se2,2.758
Ge2Se4,2.736
Ge2Te2,2.9604999999999997
Ge2Te4,2.134
Ge3O9Sb2,1.088
Ge6N2,2.09
Ge6P2,2.1
Ge6Sb2,2.13
GeH2O2,1.495
GeI2,2.8425000000000002
GeO,2.644
GeO2,3.280333333333333
GeS,2.663
GeS2,3.5156666666666667
GeSe,2.627
GeSe2,3.5393333333333334
GeTe,2.628
GeTe2,3.7106666666666666
H2O2Sb,1.766
H2Si2,1.886
H4O10Si4,1.208
H4O12Te4,1.744
Hf2Br2,4.686
Hf2Br2N2,3.7115
Hf2Br2O2,4.048
Hf2Br2S2,4.021
Hf2Br2Se2,4.039
Hf2Br4,3.857
Hf2Br6,3.18
Hf2C,4.779
Hf2CF2,4.754
Hf2CH2O2,4.271
Hf2CO2,4.979
Hf2Cl2,4.673
Hf2Cl2N2,3.6345
Hf2Cl2O2,4.04
Hf2Cl2S2,3.963
Hf2Cl2Se2,3.973
Hf2Cl4,3.914
Hf2Cl6,3.225
Hf2F2,4.019
Hf2F2N,4.977
Hf2Ge2Te8,2.303
Hf2H2NO2,4.634
Hf2I2,5.0925
Hf2I2N2,4.077
Hf2I2O2,4.408
Hf2I2S2,4.366
Hf2I2Se2,4.356
Hf2I4,4.215
Hf2I6,3.4655
Hf2N,4.972
Hf2NO2,5.295
Hf2O2,3.218666666666666
Hf2O6,4.712
Hf2P2S6,3.489
Hf2P2Se6,3.609
Hf2P2Te6,3.759
Hf2S2,3.9938000000000002
Hf2S6,5.001
Hf2Se2,4.1578
Hf2Se6,5.138
Hf2Si2Te2,3.493
Hf2Te10,2.113
Hf2Te2,4.4172
Hf2Te6,5.323
Hf2Ti2S8,3.893
Hf2Ti2Se8,3.99
Hf2Ti2Te8,4.149
Hf2Zr2S8,3.94
Hf2Zr2Se8,4.025
Hf2Zr2Te8,4.174
Hf3C2,6.087
Hf3C2F2,5.896
Hf3C2H2O2,5.286
Hf3C2O2,6.425
Hf3F2N2,6.578
Hf3H2N2O2,6.082
Hf3N2,6.729
Hf3N2O2,6.774
Hf3Te2,3.23
Hf3TiS8,3.941
Hf3TiSe8,4.031
Hf3TiTe8,4.162
Hf3ZrS8,3.964
Hf3ZrSe8,4.05
Hf3ZrTe8,4.183
Hf4Br4O4,3.561
Hf4Br4S4,3.795
Hf4Br4Se4,3.906
Hf4C3,7.244
Hf4C3F2,6.818
Hf4C3H2O2,6.219
Hf4C3O2,7.42
Hf4Cl4O4,3.573
Hf4Cl4S4,3.886
Hf4Cl4Se4,3.984
Hf4F2N3,7.385
Hf4H2N3O2,6.965
