Formula,Area of unit-cell
GaPd5I2,17.089
GaPt5Br2,16.032
GaPt5Cl2,15.733
GaPt5I2,16.607
GaS2,11.874
GaSe2,12.923
GaTe2,15.084
Ge2,14.183
Ge2H2,14.392
Ge2I2,14.8935
Ge2I2N2,13.628
Ge2I2O2,14.836
Ge2I2S2,19.128
Ge2I2Se2,20.682
Ge2P2S6,35.173
Ge2P2Se6,38.515
Ge2P2Te6,44.442
Ge2S2,21.5955
Ge2S4,30.113
Ge2Se2,23.1455
Ge2Se4,32.749
Ge2Te2,25.756500000000003
Ge2Te4,53.822
Ge3O9Sb2,47.703
Ge6N2,51.714
Ge6P2,59.479
Ge6Sb2,66.954
GeH2O2,11.396
GeI2,18.7355
GeO,7.851
GeO2,7.739666666666667
GeS,10.538
GeS2,10.842666666666666
GeSe,11.64
GeSe2,11.970999999999998
GeTe,13.467
GeTe2,13.531333333333334
H2O2Sb,13.976
H2Si2,13.141
H4O10Si4,39.568
H4O12Te4,39.575
Hf2Br2,13.2145
Hf2Br2N2,13.1525
Hf2Br2O2,15.231
Hf2Br2S2,18.522
Hf2Br2Se2,19.552
Hf2Br4,22.102
Hf2Br6,36.508
Hf2C,8.979
Hf2CF2,9.247
Hf2CH2O2,9.362
Hf2CO2,9.3
Hf2Cl2,12.737000000000002
Hf2Cl2N2,12.8955
Hf2Cl2O2,14.589
Hf2Cl2S2,18.068
Hf2Cl2Se2,19.134
Hf2Cl4,20.201
Hf2Cl6,32.8255
Hf2F2,11.879999999999999
Hf2F2N,8.914
Hf2Ge2Te8,44.457
Hf2H2NO2,9.212
Hf2I2,14.0915
Hf2I2N2,13.6825
Hf2I2O2,16.126
Hf2I2S2,19.236
Hf2I2Se2,20.351
Hf2I4,25.378
Hf2I6,43.205
Hf2N,8.763
Hf2NO2,9.034
Hf2O2,14.925333333333334
Hf2O6,13.209
Hf2P2S6,38.17
Hf2P2Se6,40.663
Hf2P2Te6,45.276
Hf2S2,14.771799999999999
Hf2S6,18.646
Hf2Se2,15.0196
Hf2Se6,20.449
Hf2Si2Te2,13.386
Hf2Te10,55.587
Hf2Te2,15.747399999999999
Hf2Te6,23.454
Hf2Ti2S8,41.34
Hf2Ti2Se8,44.701
Hf2Ti2Te8,50.754
Hf2Zr2S8,43.834
Hf2Zr2Se8,47.157
Hf2Zr2Te8,53.083
Hf3C2,9.421
Hf3C2F2,9.42
Hf3C2H2O2,9.454
Hf3C2O2,9.265
Hf3F2N2,8.606
Hf3H2N2O2,8.745
Hf3N2,8.593
Hf3N2O2,8.942
Hf3Te2,13.75
Hf3TiS8,42.431
Hf3TiSe8,45.783
Hf3TiTe8,51.886
Hf3ZrS8,43.669
Hf3ZrSe8,46.979
Hf3ZrTe8,53.022
Hf4Br4O4,37.836
Hf4Br4S4,43.885
Hf4Br4Se4,45.567
Hf4C3,9.435
Hf4C3F2,9.469
Hf4C3H2O2,9.495
Hf4C3O2,9.314
Hf4Cl4O4,36.759
Hf4Cl4S4,42.217
Hf4Cl4Se4,43.698
Hf4F2N3,9.015
Hf4H2N3O2,9.064
Hf4I4O4,39.549
Hf4I4S4,46.389
Hf4I4Se4,48.378
Hf4N3,8.819
Hf4N3O2,8.994
HfAs2,9.959
HfAsSb,9.8385
HfBr2,10.809666666666667
HfBrCl,9.975
HfBrI,11.3205
HfCl2,9.843
HfClI,10.909500000000001
HfF2,8.485
HfH2,8.117
HfH2O2,12.1
HfI2,12.705666666666668
HfLi2,8.207
HfMnF6,22.95
HfMnI6,46.579
HfNa2H6O6,31.634
HfNiBr6,38.118
HfNiCl6,34.064
HfNiI6,44.679
HfO2,9.871333333333334
HfPd2,20.238
HfS2,12.490333333333334
HfSSe,11.609
HfSTe,12.254999999999999
HfSb2,9.216
HfSe2,13.371
HfSeTe,12.71
HfTe2,15.088333333333333
HfTi3S8,40.079
HfTi3Se8,43.492
HfTi3Te8,49.623
HfZr3S8,44.009
HfZr3Se8,47.306
HfZr3Te8,53.167
Hg2Br2,16.7105
Hg2Br2N2,15.814
Hg2Br2O2,16.408
Hg2Br2S2,16.692
Hg2Br2Se2,16.407
Hg2Cl2,16.036
Hg2Cl2N2,15.493
Hg2Cl2O2,16.096
Hg2Cl2S2,17.42
Hg2Cl2Se2,18.948
Hg2F2,11.222
Hg2GeO4,38.296
Hg2I2,18.810499999999998
Hg2I2N2,16.21
Hg2I2O2,16.621
Hg2I2S2,20.971
Hg2I2Se2,17.915
Hg2K4Cl8,74.84
Hg2O4,20.724
Hg2P2S6,35.181
Hg2P2Se6,38.721
Hg2P2Te6,44.537
Hg2Pt4Se6,48.839
Hg2Se2,17.372
Hg2Te2,19.319000000000003
Hg2Te4,23.034
Hg2V2O6,39.641
Hg3B2O6,75.352
Hg4I8,82.502
Hg4K2Cl6O6S2,37.742
Hg4Mo2O8,40.02
Hg4W2O8,37.943
HgBr2,15.554
HgCl2,14.446666666666667
HgF2,15.523
HgH2O2,12.117
HgH2S2,17.243
