Formula,Thermodynamic stability level
Hf2Cl2O2,3.0
Hf2Cl2S2,3.0
Hf2Cl2Se2,3.0
Hf2Cl4,3.0
Hf2Cl6,3.0
Hf2F2,2.5
Hf2F2N,2.0
Hf2Ge2Te8,3.0
Hf2H2NO2,2.0
Hf2I2,2.5
Hf2I2N2,3.0
Hf2I2O2,2.0
Hf2I2S2,3.0
Hf2I2Se2,3.0
Hf2I4,3.0
Hf2I6,3.0
Hf2N,2.0
Hf2NO2,2.0
Hf2O2,2.0
Hf2O6,3.0
Hf2P2S6,2.0
Hf2P2Se6,3.0
Hf2P2Te6,2.0
Hf2S2,2.0
Hf2S6,3.0
Hf2Se2,2.0
Hf2Se6,3.0
Hf2Si2Te2,3.0
Hf2Te10,3.0
Hf2Te2,2.0
Hf2Te6,3.0
Hf2Ti2S8,3.0
Hf2Ti2Se8,3.0
Hf2Ti2Te8,3.0
Hf2Zr2S8,2.0
Hf2Zr2Se8,3.0
Hf2Zr2Te8,3.0
Hf3C2,2.0
Hf3C2F2,3.0
Hf3C2H2O2,2.0
Hf3C2O2,2.0
Hf3F2N2,2.0
Hf3H2N2O2,2.0
Hf3N2,2.0
Hf3N2O2,3.0
Hf3Te2,3.0
Hf3TiS8,2.0
Hf3TiSe8,3.0
Hf3TiTe8,3.0
Hf3ZrS8,2.0
Hf3ZrSe8,3.0
Hf3ZrTe8,3.0
Hf4Br4O4,2.0
Hf4Br4S4,3.0
Hf4Br4Se4,3.0
Hf4C3,2.0
Hf4C3F2,3.0
Hf4C3H2O2,2.0
Hf4C3O2,3.0
Hf4Cl4O4,2.0
Hf4Cl4S4,3.0
Hf4Cl4Se4,3.0
Hf4F2N3,3.0
Hf4H2N3O2,2.0
Hf4I4O4,2.0
Hf4I4S4,3.0
Hf4I4Se4,3.0
Hf4N3,2.0
Hf4N3O2,3.0
HfAs2,2.0
HfAsSb,2.0
HfBr2,2.6666666666666665
HfBrCl,3.0
HfBrI,2.5
HfCl2,2.6666666666666665
HfClI,2.5
HfF2,2.0
HfH2,2.0
HfH2O2,2.0
HfI2,2.3333333333333335
HfLi2,1.0
HfMnF6,2.0
HfMnI6,3.0
HfNa2H6O6,3.0
HfNiBr6,3.0
HfNiCl6,3.0
HfNiI6,3.0
HfO2,2.0
HfPd2,1.0
HfS2,2.3333333333333335
HfSSe,3.0
HfSTe,3.0
HfSb2,2.0
HfSe2,2.6666666666666665
HfSeTe,3.0
HfTe2,2.6666666666666665
HfTi3S8,3.0
HfTi3Se8,3.0
HfTi3Te8,3.0
HfZr3S8,3.0
HfZr3Se8,3.0
HfZr3Te8,3.0
Hg2Br2,2.0
Hg2Br2N2,1.0
Hg2Br2O2,2.0
Hg2Br2S2,1.0
Hg2Br2Se2,2.0
Hg2Cl2,2.0
Hg2Cl2N2,1.0
Hg2Cl2O2,2.0
Hg2Cl2S2,2.0
Hg2Cl2Se2,2.0
Hg2F2,3.0
Hg2GeO4,3.0
Hg2I2,2.0
Hg2I2N2,1.0
Hg2I2O2,2.0
Hg2I2S2,1.0
Hg2I2Se2,2.0
Hg2K4Cl8,3.0
Hg2O4,1.0
Hg2P2S6,3.0
Hg2P2Se6,3.0
Hg2P2Te6,1.0
Hg2Pt4Se6,3.0
Hg2Se2,3.0
Hg2Te2,3.0
Hg2Te4,1.0
Hg2V2O6,3.0
Hg3B2O6,3.0
Hg4I8,3.0
Hg4K2Cl6O6S2,3.0
Hg4Mo2O8,3.0
Hg4W2O8,3.0
HgBr2,3.0
HgCl2,3.0
HgF2,3.0
HgH2O2,3.0
HgH2S2,3.0
HgI2,3.0
HgO,2.0
HgO2,1.0
HgS,3.0
HgS2,1.0
HgSe,3.0
HgSe2,1.0
HgTe,3.0
HgTe2,1.0
I2Sb,1.0
I2Sb2,2.0
I6Sb2,3.0
ISSb,2.5
ISbSe,3.0
ISbTe,3.0
In2Br2,3.0
In2Br2N2,1.0
In2Br2O2,3.0
In2Br2S2,3.0
In2Br2Se2,3.0
In2Br6,3.0
In2Cl2,3.0
In2Cl2N2,1.0
In2Cl2O2,3.0
In2Cl2S2,3.0
In2Cl2Se2,3.0
